reportID,time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location
224,2020-04-06 02:30:00,5,0,4,4,10,-1,1
225,2020-04-06 02:30:00,7,0,4,8,3,-1,3
226,2020-04-06 02:30:00,3,1,5,-1,8,-1,8
227,2020-04-06 02:30:00,10,1,4,3,8,-1,9
228,2020-04-06 02:30:00,7,10,7,-1,10,1,12
229,2020-04-06 02:30:00,5,6,2,-1,10,-1,19
230,2020-04-06 02:35:00,5,8,2,-1,10,-1,4
231,2020-04-06 02:35:00,2,7,2,5,9,-1,6
232,2020-04-06 02:35:00,0,1,3,2,8,-1,6
233,2020-04-06 02:35:00,2,3,6,-1,5,-1,8
234,2020-04-06 02:35:00,3,10,1,-1,1,1,8
235,2020-04-06 02:35:00,0,10,5,-1,6,-1,8
236,2020-04-06 02:35:00,9,7,0,-1,3,-1,8
237,2020-04-06 02:35:00,0,8,10,10,9,-1,9
238,2020-04-06 02:35:00,10,8,4,5,0,-1,9
239,2020-04-06 02:35:00,0,1,2,-1,3,-1,15
240,2020-04-06 02:35:00,8,10,6,-1,1,-1,19
241,2020-04-06 02:40:00,0,3,10,-1,1,-1,2
242,2020-04-06 02:40:00,10,3,4,10,8,0,3
243,2020-04-06 02:40:00,8,5,2,10,7,1,6
244,2020-04-06 02:40:00,5,3,6,-1,10,-1,8
245,2020-04-06 02:40:00,10,10,5,1,8,-1,9
246,2020-04-06 02:40:00,5,5,10,-1,4,-1,14
247,2020-04-06 02:40:00,10,10,10,0,9,-1,16
248,2020-04-06 02:45:00,10,8,8,2,4,-1,2
249,2020-04-06 02:45:00,9,2,10,-1,7,-1,2
250,2020-04-06 02:45:00,7,10,0,0,10,0,6
251,2020-04-06 02:45:00,6,5,6,10,10,-1,11
252,2020-04-06 02:45:00,0,0,8,-1,7,-1,15
253,2020-04-06 02:45:00,7,4,2,-1,8,-1,19
254,2020-04-06 02:50:00,7,7,5,10,8,-1,5
255,2020-04-06 02:50:00,9,9,7,10,4,-1,6
256,2020-04-06 02:50:00,3,3,3,1,10,-1,6
257,2020-04-06 02:50:00,6,10,10,-1,5,1,8
258,2020-04-06 02:50:00,5,8,9,8,10,-1,9
259,2020-04-06 02:50:00,3,6,10,5,4,-1,9
260,2020-04-06 02:50:00,0,1,0,-1,7,-1,10
261,2020-04-06 02:50:00,0,1,8,0,3,-1,11
262,2020-04-06 02:50:00,10,4,3,-1,10,-1,15
263,2020-04-06 02:50:00,6,9,6,-1,7,-1,15
264,2020-04-06 02:50:00,3,4,10,-1,8,-1,15
265,2020-04-06 02:55:00,10,10,10,-1,5,-1,2
266,2020-04-06 02:55:00,6,3,9,1,10,-1,6
267,2020-04-06 02:55:00,10,4,0,3,3,-1,9
268,2020-04-06 02:55:00,4,10,7,0,9,-1,9
269,2020-04-06 02:55:00,10,3,1,5,4,0,11
270,2020-04-06 02:55:00,3,8,7,-1,0,0,12
271,2020-04-06 02:55:00,1,1,8,-1,4,-1,15
272,2020-04-06 02:55:00,10,0,3,10,10,-1,16
273,2020-04-06 03:00:00,10,2,0,10,10,-1,1
274,2020-04-06 03:00:00,2,2,10,-1,2,-1,2
275,2020-04-06 03:00:00,6,8,3,-1,4,-1,2
276,2020-04-06 03:00:00,0,0,9,-1,5,1,2
277,2020-04-06 03:00:00,4,10,3,2,2,-1,3
278,2020-04-06 03:00:00,4,2,2,7,1,-1,5
279,2020-04-06 03:00:00,9,3,2,4,2,-1,6
280,2020-04-06 03:00:00,0,7,5,-1,0,-1,8
281,2020-04-06 03:00:00,3,1,8,3,3,-1,11
282,2020-04-06 03:00:00,3,9,5,-1,1,-1,12
283,2020-04-06 03:00:00,8,8,1,-1,5,-1,14
284,2020-04-06 03:00:00,7,6,7,-1,4,1,15
285,2020-04-06 03:00:00,2,10,10,-1,7,-1,19
286,2020-04-06 03:05:00,4,9,8,8,7,-1,1
287,2020-04-06 03:05:00,10,2,1,-1,4,-1,2
288,2020-04-06 03:05:00,3,10,4,10,2,1,3
289,2020-04-06 03:05:00,7,6,1,8,6,-1,3
290,2020-04-06 03:05:00,5,10,7,4,10,-1,6
291,2020-04-06 03:05:00,8,9,9,10,9,-1,6
292,2020-04-06 03:05:00,0,9,4,-1,3,-1,8
293,2020-04-06 03:05:00,0,9,8,6,10,-1,9
294,2020-04-06 03:10:00,10,4,5,-1,10,-1,2
295,2020-04-06 03:10:00,5,2,6,7,4,-1,6
296,2020-04-06 03:10:00,10,2,2,8,3,-1,6
297,2020-04-06 03:10:00,10,3,6,-1,2,-1,14
298,2020-04-06 03:10:00,4,4,0,-1,6,-1,15
299,2020-04-06 03:10:00,0,6,10,-1,1,-1,18
300,2020-04-06 03:15:00,6,7,7,-1,9,0,2
301,2020-04-06 03:15:00,5,9,10,2,10,-1,6
302,2020-04-06 03:15:00,6,5,6,-1,9,-1,8
303,2020-04-06 03:15:00,9,0,9,-1,3,-1,8
304,2020-04-06 03:15:00,10,10,10,2,6,-1,9
305,2020-04-06 03:15:00,3,6,0,-1,7,-1,15
306,2020-04-06 03:15:00,7,5,7,-1,10,-1,18
307,2020-04-06 03:20:00,4,9,8,-1,7,-1,2
308,2020-04-06 03:20:00,7,0,0,10,9,0,6
309,2020-04-06 03:20:00,7,10,2,-1,5,-1,8
310,2020-04-06 03:20:00,0,8,10,-1,10,-1,10
311,2020-04-06 03:20:00,1,5,5,-1,4,-1,15
312,2020-04-06 03:25:00,4,0,1,-1,3,-1,2
313,2020-04-06 03:25:00,10,1,2,10,4,-1,5
314,2020-04-06 03:25:00,9,3,10,8,9,-1,6
315,2020-04-06 03:25:00,8,8,3,2,2,1,6
316,2020-04-06 03:30:00,3,1,7,-1,9,-1,2
317,2020-04-06 03:30:00,4,8,6,2,2,-1,6
318,2020-04-06 03:35:00,10,0,3,-1,9,-1,2
319,2020-04-06 03:35:00,10,0,5,0,10,-1,3
320,2020-04-06 03:35:00,1,2,5,10,10,-1,3
321,2020-04-06 03:35:00,4,8,7,10,9,-1,9
322,2020-04-06 03:35:00,9,1,0,8,9,-1,9
323,2020-04-06 03:35:00,4,5,10,-1,7,-1,12
324,2020-04-06 03:35:00,7,6,1,-1,8,1,15
325,2020-04-06 03:35:00,10,8,1,10,9,-1,16
326,2020-04-06 03:40:00,4,3,6,-1,8,1,2
327,2020-04-06 03:40:00,8,8,2,8,10,-1,5
328,2020-04-06 03:40:00,10,8,1,5,10,-1,6
329,2020-04-06 03:40:00,10,0,8,-1,5,-1,8
330,2020-04-06 03:40:00,0,4,9,-1,4,1,8
331,2020-04-06 03:40:00,1,10,5,9,7,-1,9
332,2020-04-06 03:40:00,4,2,2,3,2,1,16
333,2020-04-06 03:40:00,0,4,1,-1,1,-1,19
334,2020-04-06 03:45:00,2,7,0,2,1,-1,3
335,2020-04-06 03:45:00,3,1,1,-1,2,-1,4
336,2020-04-06 03:45:00,1,5,4,2,10,-1,5
337,2020-04-06 03:45:00,7,4,1,1,0,1,5
338,2020-04-06 03:45:00,1,3,0,-1,2,-1,8
339,2020-04-06 03:45:00,10,0,0,4,7,-1,9
340,2020-04-06 03:45:00,6,0,2,-1,6,-1,15
341,2020-04-06 03:45:00,1,0,7,-1,8,-1,15
342,2020-04-06 03:50:00,2,0,10,3,4,-1,1
343,2020-04-06 03:50:00,9,0,8,-1,9,-1,2
344,2020-04-06 03:50:00,4,6,6,5,6,-1,6
345,2020-04-06 03:50:00,8,2,2,5,10,-1,6
346,2020-04-06 03:50:00,1,10,4,-1,5,-1,8
347,2020-04-06 03:50:00,10,0,10,-1,1,-1,14
348,2020-04-06 03:50:00,8,6,9,-1,8,-1,18
349,2020-04-06 03:55:00,10,0,7,3,0,-1,6
350,2020-04-06 03:55:00,4,3,3,-1,8,-1,8
351,2020-04-06 03:55:00,7,1,9,-1,9,-1,8
352,2020-04-06 03:55:00,7,4,8,-1,1,-1,15
353,2020-04-06 04:00:00,9,10,0,-1,10,-1,2
354,2020-04-06 04:00:00,3,7,6,4,10,-1,6
355,2020-04-06 04:00:00,9,2,4,7,7,-1,6
356,2020-04-06 04:00:00,3,0,9,6,9,-1,6
357,2020-04-06 04:00:00,4,8,6,10,3,1,6
358,2020-04-06 04:00:00,4,9,9,-1,1,-1,8
359,2020-04-06 04:00:00,2,1,0,-1,8,-1,8
360,2020-04-06 04:00:00,5,8,7,5,7,0,11
361,2020-04-06 04:00:00,5,10,8,-1,6,-1,19
362,2020-04-06 04:05:00,4,2,10,-1,8,0,2
363,2020-04-06 04:05:00,10,9,0,6,10,-1,3
364,2020-04-06 04:05:00,10,5,5,8,9,-1,6
365,2020-04-06 04:05:00,5,10,10,-1,7,-1,8
366,2020-04-06 04:05:00,3,3,2,-1,2,-1,8
367,2020-04-06 04:05:00,4,5,3,6,3,-1,9
368,2020-04-06 04:05:00,8,4,9,-1,10,-1,14
369,2020-04-06 04:05:00,3,5,10,-1,2,-1,15
370,2020-04-06 04:05:00,3,10,7,-1,9,-1,18
371,2020-04-06 04:10:00,6,10,10,-1,4,-1,8
372,2020-04-06 04:10:00,8,6,6,-1,2,-1,8
373,2020-04-06 04:10:00,1,0,0,-1,5,-1,8
374,2020-04-06 04:10:00,0,8,2,-1,0,-1,8
375,2020-04-06 04:10:00,10,10,0,0,8,-1,9
376,2020-04-06 04:10:00,10,6,2,-1,2,-1,15
377,2020-04-06 04:10:00,4,5,7,3,8,-1,16
378,2020-04-06 04:10:00,2,6,10,-1,3,-1,17
379,2020-04-06 04:15:00,3,8,3,3,6,-1,1
380,2020-04-06 04:15:00,3,2,9,-1,10,-1,2
381,2020-04-06 04:15:00,5,5,9,-1,8,-1,2
382,2020-04-06 04:15:00,4,1,9,-1,9,-1,4
383,2020-04-06 04:15:00,5,10,10,1,7,-1,5
384,2020-04-06 04:15:00,10,0,8,3,1,-1,5
385,2020-04-06 04:15:00,5,3,3,9,10,-1,5
386,2020-04-06 04:15:00,10,9,10,8,6,-1,6
387,2020-04-06 04:15:00,10,4,8,-1,1,-1,8
388,2020-04-06 04:15:00,7,5,5,-1,5,-1,8
389,2020-04-06 04:15:00,10,7,3,10,4,-1,9
390,2020-04-06 04:15:00,7,1,10,-1,1,0,14
391,2020-04-06 04:20:00,8,4,8,8,8,-1,6
392,2020-04-06 04:20:00,1,3,10,6,10,-1,6
393,2020-04-06 04:20:00,10,9,8,10,1,0,9
394,2020-04-06 04:20:00,0,5,3,-1,2,-1,15
395,2020-04-06 04:20:00,0,0,5,-1,7,-1,19
396,2020-04-06 04:25:00,10,5,6,-1,1,-1,2
397,2020-04-06 04:25:00,5,4,10,-1,3,-1,4
398,2020-04-06 04:25:00,3,10,9,10,3,-1,6
399,2020-04-06 04:25:00,8,6,5,3,5,-1,6
400,2020-04-06 04:25:00,7,10,10,-1,2,-1,8
401,2020-04-06 04:25:00,3,8,5,-1,10,-1,14
402,2020-04-06 04:25:00,9,10,6,-1,6,-1,15
403,2020-04-06 04:30:00,1,5,10,5,2,-1,6
404,2020-04-06 04:30:00,6,1,9,-1,1,-1,8
405,2020-04-06 04:30:00,7,8,9,-1,6,-1,8
406,2020-04-06 04:30:00,10,8,10,2,1,-1,9
407,2020-04-06 04:30:00,6,4,4,3,10,0,9
408,2020-04-06 04:30:00,9,4,3,-1,10,1,10
409,2020-04-06 04:30:00,7,10,4,-1,5,-1,14
410,2020-04-06 04:30:00,10,10,9,-1,8,1,15
411,2020-04-06 04:35:00,10,3,3,-1,10,1,2
412,2020-04-06 04:35:00,8,0,8,-1,9,-1,8
413,2020-04-06 04:35:00,10,1,10,-1,2,-1,14
414,2020-04-06 04:35:00,9,10,0,-1,6,-1,15
415,2020-04-06 04:35:00,5,6,10,-1,10,0,15
416,2020-04-06 04:40:00,10,3,7,8,2,-1,1
417,2020-04-06 04:40:00,5,7,10,-1,1,-1,2
418,2020-04-06 04:40:00,1,0,0,-1,6,-1,15
419,2020-04-06 04:40:00,2,4,4,-1,5,-1,19
420,2020-04-06 04:45:00,3,10,10,3,6,-1,5
421,2020-04-06 04:45:00,7,6,4,10,0,-1,6
422,2020-04-06 04:45:00,10,9,5,-1,5,1,8
423,2020-04-06 04:45:00,10,1,10,-1,3,-1,15
424,2020-04-06 04:50:00,8,10,10,4,2,-1,5
425,2020-04-06 04:50:00,3,7,7,-1,10,-1,14
426,2020-04-06 04:50:00,3,7,3,-1,4,-1,15
427,2020-04-06 04:50:00,1,3,0,-1,8,-1,18
428,2020-04-06 04:55:00,8,8,0,-1,8,-1,8
429,2020-04-06 04:55:00,5,7,4,10,3,-1,9
430,2020-04-06 04:55:00,10,3,3,7,8,-1,9
431,2020-04-06 04:55:00,6,7,6,-1,7,-1,14
432,2020-04-06 05:00:00,0,1,0,-1,8,-1,2
433,2020-04-06 05:00:00,0,10,10,-1,3,-1,2
434,2020-04-06 05:00:00,3,2,1,-1,3,-1,15
435,2020-04-06 05:00:00,1,4,4,-1,5,-1,19
436,2020-04-06 05:05:00,10,6,6,-1,6,-1,2
437,2020-04-06 05:05:00,6,9,2,-1,2,1,2
438,2020-04-06 05:05:00,0,8,0,7,10,0,5
439,2020-04-06 05:05:00,2,10,8,6,10,1,6
440,2020-04-06 05:05:00,8,5,2,-1,5,-1,15
441,2020-04-06 05:10:00,10,4,4,-1,9,-1,2
442,2020-04-06 05:10:00,7,3,9,1,8,-1,6
443,2020-04-06 05:10:00,10,3,3,5,4,-1,6
444,2020-04-06 05:10:00,5,4,7,3,10,-1,6
445,2020-04-06 05:10:00,6,6,9,3,2,-1,6
446,2020-04-06 05:10:00,7,9,10,-1,3,-1,12
447,2020-04-06 05:10:00,5,9,8,-1,10,-1,15
448,2020-04-06 05:10:00,9,6,4,4,5,-1,16
449,2020-04-06 05:15:00,0,3,10,-1,8,-1,2
450,2020-04-06 05:15:00,6,5,5,-1,4,-1,4
451,2020-04-06 05:15:00,3,10,10,10,8,1,5
452,2020-04-06 05:15:00,4,0,0,-1,0,1,8
453,2020-04-06 05:15:00,2,8,1,-1,10,-1,10
454,2020-04-06 05:15:00,10,5,7,-1,10,-1,15
455,2020-04-06 05:15:00,8,10,6,4,8,1,16
456,2020-04-06 05:15:00,10,8,2,-1,0,-1,18
